CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2003-0738,Suisun City Redevelopment Agency,2003-0738.pdf (http://cdiacdocs.sto.ca.gov/2003-0738.pdf),SOLD,07/01/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Series A,6390000,6390000,0,23571,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,4.986,,TIC,,Federally Taxable,10/01/2011 12:00:00 AM,10/01/2032 12:00:00 AM,NO,S:AAA/A-,M:Aaa/A3,NOT RATED,NOT RATED,Ins,Ambac,Comp,Unknown,Stone & Youngberg,,,,Northcross Hill & Ach,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,4.11,262600,,,,27924,,,,,,,,94675,,
2003-1231,Vacaville Unified School District,2003-1231.pdf (http://cdiacdocs.sto.ca.gov/2003-1231.pdf),SOLD,08/06/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,18245000,18245000,0,283006,General obligation bond,K-12 School Facility,Property tax revenues,4.954,,TIC,,,08/01/2012 12:00:00 AM,08/01/2028 12:00:00 AM,NO,S:AAA/A-,NOT RATED,F:AAA/A-,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Stone & Youngberg,,,,,Kronick Moskovitz Tiedemann & Girard,,,,U.S. Bank National Association,1.67,304582,,,,173328,,,23500,,12500,,2000,56254,19500,17500
2003-1238,Fairfield Public Financing Authority,2003-1238.pdf (http://cdiacdocs.sto.ca.gov/2003-1238.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Hsg Series B,4810000,706446,4103554,15898,Revenue bond,"Redevelopment, Multiple Purposes",Local obligations,4.288,,TIC,,,08/01/2013 12:00:00 AM,08/01/2028 12:00:00 AM,NO,S:AAA/A,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,1.8,86556,0,0,0,20800,0,0,0,0,0,0,0,0,0,65756
2003-1918,Vallejo,2003-1918.pdf (http://cdiacdocs.sto.ca.gov/2003-1918.pdf),SOLD,12/10/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,8000000,8000000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,VAR,,,01/01/2004 12:00:00 AM,12/01/2023 12:00:00 AM,NO,S:AAA/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Union Bank of California,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,,,,20000,,0,,57500,50000,,20000,,6000,176227,12000,38273
2003-1565,Vallejo Public Financing Authority,2003-1565.pdf (http://cdiacdocs.sto.ca.gov/2003-1565.pdf),SOLD,08/12/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Glen Cove,10800000,1681596,9118404,,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,,3.165,NIC,,,,09/02/2011 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Jones Hall A Professional Law Corp,,,,Wells Fargo Bank National Association,,,,,,162000,,,,,,,,,,
2003-0739,Suisun City Redevelopment Agency,2003-0739.pdf (http://cdiacdocs.sto.ca.gov/2003-0739.pdf),SOLD,07/01/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Series B,43000000,4026152,38973848,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,4.004,,TIC,,,10/01/2011 12:00:00 AM,10/01/2023 12:00:00 AM,NO,S:AAA/A-,M:Aaa/A3,NOT RATED,NOT RATED,Ins,Ambac,Comp,Unknown,UBS Financial Services,,,,Northcross Hill & Ach,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.93,829208,,,,115240,,,,,,,,537951,,
2003-0729,Vallejo City Unified School District,2003-0729.pdf (http://cdiacdocs.sto.ca.gov/2003-0729.pdf),SOLD,05/23/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,10500000,10500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.459,,TIC,,,,12/18/2003 12:00:00 AM,NO,NOT RATED,M:MIG2,NOT RATED,NOT RATED,,,Neg,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Kronick Moskovitz Tiedemann & Girard,,,,Solano County,0.29,30500,,,,,,10000,12500,,,,,,6000,2000
2006-0597,Vallejo,2006-0597.pdf (http://cdiacdocs.sto.ca.gov/2006-0597.pdf),SOLD,07/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Water,45790000,0,45790000,1872792,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,4.6,,TIC,,,05/01/2016 12:00:00 AM,05/01/2026 12:00:00 AM,NO,S:AAA,NOT RATED,F:AAA,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Lehman Brothers,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,Wells Fargo Bank National Association,1.93,884364,0,0,0,214297,0,0,0,0,0,0,0,0,0,670067
2016-3030,Suisun-Solano Water Authority,2016-3030.pdf (http://cdiacdocs.sto.ca.gov/2016-3030.pdf),SOLD,09/13/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,"Water Agency, Authority",,8240000,8240000,0,1495894.6,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,3.634,4.064,,,,09/01/2024 12:00:00 AM,09/01/2046 12:00:00 AM,NO,S:A+,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Sutter Securities Inc,,,,NHA Advisors,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,2.86,235894.6,0,0,0,61800,0,57500,50000,0,30000,0,3700,0,17500,15394.6
2002-2035,Vallejo City Unified School District,2002-2035.pdf (http://cdiacdocs.sto.ca.gov/2002-2035.pdf),SOLD,12/18/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,30000000,30000000,0,,General obligation bond,K-12 School Facility,Property tax revenues,4.643,,TIC,,,08/01/2012 12:00:00 AM,08/01/2027 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,US Bancorp Piper Jaffray,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,Solano County,,,,,,68037,,,,,,,,99100,,
2003-0610,Solano County Community College District (CCCFA),2003-0610.pdf (http://cdiacdocs.sto.ca.gov/2003-0610.pdf),SOLD,06/19/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,Community College District,CCCFA 2003 TRAN Pool Series A,4715000,4715000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.913,NIC,,,,06/30/2004 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,RBC Dain Rauscher,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,,
1990-0266,Suisun-Solano Water Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/18/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,"Water Agency, Authority",,8935000,8935000,0,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,7.075,NIC,,,,,N/A,S:AAA,M:Baa1,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Neg,Unknown,PaineWebber Inc,,,,Rauscher PierceRefsnes Inc,Jones Hall Hill & White,,,,,2.96,264396,,,,156987.09,,,,,,,,,,
2006-0094,Solano Irrigation District,2006-0094.pdf (http://cdiacdocs.sto.ca.gov/2006-0094.pdf),SOLD,02/15/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Irrigation District,Monticello,19015000,0,19015000,,Public enterprise revenue bond,Power Generation/Transmission,Public enterprise revenues,,5.393,NIC,,Federally Taxable,,01/01/2020 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Neg,Unknown,Sutter Securities Inc,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,3.94,750130,,,,206000,,,,,,,,,,
2003-0750,Fairfield Public Financing Authority,2003-0750.pdf (http://cdiacdocs.sto.ca.gov/2003-0750.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,"Regional Ctr, Hwy 12, City Ctr & Cordelia Series A",79455000,5450759,74004241,2431344,Revenue bond,"Redevelopment, Multiple Purposes",Local obligations,3.913,,TIC,,,08/01/2013 12:00:00 AM,08/01/2023 12:00:00 AM,NO,S:AAA/A-,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,0.36,283790,0,0,0,283790,0,0,0,0,0,0,0,0,0,0
2019-1079,Fairfield CFD No 2016-1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/01/2019 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),PENDING (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,No Report,,Y,Solano,NO,NO,,Mello-Roos,Community Facilities District,IA B Villages at Fairfield Series A,19865000,19865000,0,3525522.6,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,3.765,4.173,,,,09/01/2029 12:00:00 AM,09/01/2049 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Stifel Nicolaus & Company Inc,,,,The PFM Group/Public Financial Management Inc,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,The Bank of New York Mellon Trust Company NA,2.33,463410,175310,0,0,175310,0,42000,70000,0,45000,0,2500,0,0,128600
2002-0592,Fairfield-Suisun Unified School District,2002-0592.pdf (http://cdiacdocs.sto.ca.gov/2002-0592.pdf),SOLD,06/06/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.68,,TIC,,,,07/01/2003 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,First Albany Corporation,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,Solano County,,,,,,,,,,,,,,,,
1993-1323,Suisun-Solano Water Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/21/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,"Water Agency, Authority",,10000000,1245532,8754468,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,5.432,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Sutter Securities Inc,,,,,Jones Hall Hill & White,,,,,0,0,,,,140000,,,,,,,,,,
2006-0285,Vacaville Redevelopment Agency,2006-0285.pdf (http://cdiacdocs.sto.ca.gov/2006-0285.pdf),SOLD,03/29/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2006-0284,Cities,Redevelopment Agency,I-505/80,2660000,2660000,0,-32071,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,4.661,,TIC,,,09/01/2016 12:00:00 AM,09/01/2025 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Association of Bay Area Governments,,,,Harrell & Company Advisors LLC,Quint & Thimmig LLP,,,,U.S. Bank National Association,4.55,121106,,,,29260,,,20000,,11000,,2750,50311,3032,4753
2004-0811,Solano County (CSCDA),2004-0811.pdf (http://cdiacdocs.sto.ca.gov/2004-0811.pdf),SOLD,06/16/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,CSCDA 2004 TRAN Pool Series C-1,19155000,19155000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.906,NIC,,Federally Taxable,,06/30/2005 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,RBC Dain Rauscher,Orrick Herrington & Sutcliffe LLP,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,,
2001-1479,Vacaville Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/25/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Vacaville Comm & I-505/80 Areas,31980000,16124752,15855248,-173046,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,4.964,NIC,,,09/01/2011 12:00:00 AM,09/01/2031 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Salomon Smith Barney,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,2.33,745547,0,0,0,137361,0,0,0,0,0,0,0,0,0,0
2016-0802,Fairfield Redevelopment Agency,2016-0802.pdf (http://cdiacdocs.sto.ca.gov/2016-0802.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-0750,Cities,Redevelopment Agency,Cordelia,13320000,13320000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,3.913,,,,,08/01/2013 12:00:00 AM,08/01/2023 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Fairfield Public Financing Authority,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-0852,Vacaville Unified School District (CSCRPA),2005-0852.pdf (http://cdiacdocs.sto.ca.gov/2005-0852.pdf),SOLD,06/23/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2005 TRAN Pool Series A,395000,395000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.601,NIC,,,,07/06/2006 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2002-1541,Solano County,2002-1541.pdf (http://cdiacdocs.sto.ca.gov/2002-1541.pdf),SOLD,06/12/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Courthouse Security Screening,68354,68354,0,,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,,12.2,NIC,,,,06/15/2004 12:00:00 AM,N/A,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,Unknown,Kansas State Bank of Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,
2005-0849,Benicia Unified School District (CSCRPA),2005-0849.pdf (http://cdiacdocs.sto.ca.gov/2005-0849.pdf),SOLD,06/23/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2005 TRAN Pool Series A,2065000,2065000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.601,NIC,,,,07/06/2006 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2008-0105,Benicia Unified School District,2008-0105.pdf (http://cdiacdocs.sto.ca.gov/2008-0105.pdf),SOLD,02/06/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,School Facilities,9155000,0,9155000,377875.35,General obligation bond,K-12 School Facility,Property tax revenues,3.048,,TIC,,,,08/01/2016 12:00:00 AM,NO,NOT RATED,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,UBS Securities LLC,,,,Caldwell Flores Winters Inc / CFW,Nixon Peabody LLP,,,,Union Bank of California,2.89,264480,0,0,91550,91550,0,70000,45000,0,0,0,4500,30120.91,8000,15308.85
2006-1182,Vallejo City Unified School District,2006-1182.pdf (http://cdiacdocs.sto.ca.gov/2006-1182.pdf),SOLD,11/08/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Measure A,8000000,8000000,0,439252,General obligation bond,K-12 School Facility,Property tax revenues,4.726,,TIC,,,08/01/2014 12:00:00 AM,08/01/2021 12:00:00 AM,NO,S:AAA/BBB-,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Citigroup Global Markets Inc,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,U.S. Bank National Association,5.49,439252,,,,71487,,75000,30500,,,,1215,252475,6375,2200
2004-1132,Travis Unified School District (CSCRPA),2004-1132.pdf (http://cdiacdocs.sto.ca.gov/2004-1132.pdf),SOLD,06/15/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2004 TRAN Pool,1030000,1030000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.601,NIC,,,,07/06/2005 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1997-1309,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/30/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Series A,12499844,12499844,0,0,General obligation bond,K-12 School Facility,Property tax revenues,5.453,,TIC,,,,08/01/2022 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,BancAmerica Securities Inc,,,,Caldwell Flores Winters Inc / CFW,O'Melveny & Myers,,,,Union Bank of California,2.4,299679,0,0,0,299679,0,0,0,0,0,0,0,0,0,0
2004-1130,Benicia Unified School District (CSCRPA),2004-1130.pdf (http://cdiacdocs.sto.ca.gov/2004-1130.pdf),SOLD,06/15/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2004 TRAN Pool,3065000,3065000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.601,NIC,,,,07/06/2005 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray & Co,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1986-0171,Benicia Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/09/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,School Facilities,4885000,4885000,0,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,7.67,NIC,,,,,N/A,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Neg,Unknown,A R Altura & Company,,,,,Jones Hall Hill & White,,,,,3.16,154349,0,0,0,146550,0,0,0,0,0,0,0,0,0,7799
2016-0801,Fairfield Redevelopment Agency,2016-0801.pdf (http://cdiacdocs.sto.ca.gov/2016-0801.pdf),SOLD,06/25/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-0750,Cities,Redevelopment Agency,Regional Center,22995000,22995000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,3.913,,,,,08/01/2013 12:00:00 AM,08/01/2023 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Fairfield Public Financing Authority,,,,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-0938,Vacaville Redevelopment Agency,2006-0938.pdf (http://cdiacdocs.sto.ca.gov/2006-0938.pdf),SOLD,07/18/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,The Community & I-505/80 Area,18875000,18875000,0,-16662,Tax allocation bond,Multifamily Housing,Tax increment,,6.279,NIC,,Federally Taxable,09/01/2016 12:00:00 AM,09/01/2032 12:00:00 AM,NO,S:AAA/BBB+,NOT RATED,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,Raymond James & Associates Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,4.43,836032,,,,167032,,,,,,,,,,669000
